parser,expr_len,time
gccjit,1,0.074
gccjit,3,0.194
gccjit,5,0.310
gccjit,7,0.425
gccjit,9,0.542
gccjit,11,0.658
gccjit,13,0.775
gccjit,15,0.887
gccjit,17,1.017
gccjit,19,1.128
gccjit,21,1.243
gccjit,23,1.359
gccjit,25,1.484
gccjit,27,1.593
gccjit,29,1.715
usual_rpn,1,1.040
usual_rpn,3,1.576
usual_rpn,5,2.082
usual_rpn,7,2.567
usual_rpn,9,2.719
usual_rpn,11,2.817
usual_rpn,13,3.336
usual_rpn,15,3.806
usual_rpn,17,3.933
usual_rpn,19,4.398
usual_rpn,21,4.876
usual_rpn,23,5.341
usual_rpn,25,5.810
usual_rpn,27,5.933
usual_rpn,29,6.468
recalc,1,1.500
recalc,3,2.088
recalc,5,2.678
recalc,7,3.280
recalc,9,3.874
recalc,11,4.478
recalc,13,5.060
recalc,15,5.672
recalc,17,6.311
recalc,19,6.855
recalc,21,7.814
recalc,23,8.414
recalc,25,9.274
recalc,27,9.865
recalc,29,10.482
ast,1,0.468
ast,3,0.865
ast,5,1.267
ast,7,1.647
ast,9,2.096
ast,11,2.499
ast,13,2.921
ast,15,3.271
ast,17,3.702
ast,19,4.095
ast,21,4.450
ast,23,5.084
ast,25,5.418
ast,27,5.816
ast,29,6.294
